Model,Input,Accuracy,Macro-F1,Weighted-F1
Majority,—,0.1550,0.0224,0.0416
TF-IDF + LR,Current message,0.3450,0.3527,0.3387
TF-IDF + LR,Message + context,0.3450,0.3543,0.3373
