brand,total_tweets,customer_tweets,support_tweets,unique_conversations,usable_conversations,resolved_conversations,avg_turns,median_turns,pct_with_support_response,pct_resolved,usable_customer_msgs,missing_text,missing_in_reply_to,duplicate_tweet_ids
AskRBC,2422,1408,1014,838,838,12,2.89,2.0,100.0,1.4,1408,0,832,0
NeweggService,2475,1397,1078,795,795,107,3.11,3.0,100.0,13.5,1397,0,792,0
PandoraSupport,2297,1254,1043,724,724,24,3.17,2.0,100.0,3.3,1254,0,723,0
VMUcare,3183,1810,1373,718,718,58,4.43,3.0,100.0,8.1,1810,0,715,0
HiltonHelp,2016,1186,830,714,714,12,2.82,2.0,100.0,1.7,1186,0,710,0
BoostCare,2100,1193,907,663,663,23,3.17,2.0,100.0,3.5,1193,0,660,0
PearsonSupport,1846,1005,841,604,603,46,3.06,2.0,99.8,7.6,1005,0,599,0
ask_progressive,1410,798,612,543,543,22,2.6,2.0,100.0,4.1,798,0,541,0
GooglePlayMusic,1926,1123,803,543,543,5,3.55,3.0,100.0,0.9,1123,0,539,0
YahooCare,2178,1269,909,538,538,66,4.05,3.0,100.0,12.3,1269,0,535,0
USCellularCares,2599,1440,1159,529,529,14,4.91,4.0,100.0,2.6,1440,0,523,0
MTNC_Care,1978,1194,784,529,527,31,3.74,3.0,99.6,5.9,1194,0,525,0
asksalesforce,1640,931,709,485,485,29,3.38,2.0,100.0,6.0,931,0,485,0
MOO,1426,795,631,478,478,25,2.98,2.0,100.0,5.2,795,0,478,0
askvisa,1401,693,708,472,472,120,2.97,2.0,100.0,25.4,693,0,471,0
OPPOCareIN,2026,1147,879,451,450,41,4.49,3.0,99.8,9.1,1147,0,449,0
AskVirginMoney,1928,1014,914,396,396,23,4.87,4.0,100.0,5.8,1014,0,394,0
KeyBank_Help,1223,671,552,372,372,34,3.29,2.0,100.0,9.1,671,0,369,0
AskRobinhood,1027,595,432,353,353,2,2.91,2.0,100.0,0.6,595,0,353,0
AskSeagate,1305,679,626,342,342,57,3.82,3.0,100.0,16.7,679,0,341,0
AskTigogh,1637,922,715,322,322,40,5.08,3.0,100.0,12.4,922,0,322,0
JackBox,593,327,266,233,233,11,2.55,2.0,100.0,4.7,327,0,233,0
AskDSC,449,239,210,198,198,0,2.27,2.0,100.0,0.0,239,0,197,0
mediatemplehelp,610,305,305,174,174,38,3.51,3.0,100.0,21.8,305,0,174,0
CarlsJr,453,257,196,166,165,15,2.73,2.0,99.4,9.0,257,0,163,0
HotelTonightCX,338,186,152,123,123,10,2.75,2.0,100.0,8.1,186,0,123,0
OfficeSupport,498,284,214,104,104,17,4.79,4.0,100.0,16.3,284,0,100,0
